track,fold,feature_set,model,accuracy,precision,recall,f1,error_rate,roc_auc
binary,3,embedded_l1,SVM,0.9673884685624837,0.9572649572649573,0.8761408083441982,0.9149081007488087,0.03261153143751627,0.9941965588006916
binary,3,embedded_l1,DecisionTree,0.9269501695799635,0.8607407407407407,0.757496740547588,0.8058252427184466,0.07304983042003654,0.807466080858233
binary,3,embedded_l1,LogisticRegression,0.8163318549439081,0.9701492537313433,0.0847457627118644,0.15587529976019185,0.18366814505609186,0.5387570791564291
binary,3,embedded_l1,LDA_Classifier,0.8215496999739108,0.9278350515463918,0.11734028683181226,0.20833333333333334,0.1784503000260892,0.5324439897228381
binary,3,embedded_l1,MLP_ANN,0.9637359770414818,0.9672619047619048,0.847457627118644,0.9034051424600417,0.03626402295851816,0.9731194043940735
binary,3,ga_selection,KNN,0.9209496477954605,0.9813278008298755,0.6166883963494133,0.7574059247397918,0.07905035220453949,0.9225887493823413
binary,3,ga_selection,SVM,0.9637359770414818,0.9485714285714286,0.8657105606258149,0.9052488070892979,0.03626402295851816,0.9924796587206617
binary,3,ga_selection,DecisionTree,0.9324289068614662,0.8577464788732394,0.7940026075619296,0.8246445497630331,0.06757109313853382,0.845492387807224
binary,3,ga_selection,LogisticRegression,0.8035481346204018,1.0,0.018252933507170794,0.03585147247119078,0.19645186537959825,0.5268597589238406
binary,3,ga_selection,LDA_Classifier,0.8058961648839029,1.0,0.02998696219035202,0.05822784810126582,0.19410383511609708,0.5268610346390704
binary,3,ga_selection,MLP_ANN,0.9673884685624837,0.9257294429708223,0.910039113428944,0.9178172255095332,0.03261153143751627,0.9903358192770777
multiclass,1,original,KNN,0.44835680751173707,0.5508065122165717,0.44826100129016444,0.438456204644406,0.551643192488263,
multiclass,1,original,SVM,0.5479916536254564,0.5960817582326652,0.5480744550842351,0.5293224731655178,0.45200834637454357,
multiclass,1,original,DecisionTree,0.3933229003651539,0.4260573627408709,0.39345624504273885,0.3380409979265369,0.6066770996348461,
